case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-00135: Electrocution death from exposed wiring (rephrased),A fatal electrocution occurred near Indira Nagar from an exposed live wire that residents claim had already been reported earlier.,Electricity Board,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-00136: Park complaint (rephrased),"The community park in Mylapore has been left unmaintained — broken play equipment, tall grass, not cleaned in 12 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00137: Landslide-prone slope unaddressed,Cracks have appeared on the hillside slope above homes in Kamaraj Road after last monsoon; no inspection has happened yet.,Environment / Pollution Control + Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00138: Landslide-prone slope unaddressed (rephrased),Homes below the hillside in Ward 15 remain at risk as cracks from last monsoon have still not been inspected.,Environment / Pollution Control + Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00139: Property tax refund delay,Excess property tax refund approved for a Hillside Colony property but not credited even after 74 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00140: Suspected outbreak / contamination cluster (case 3 of 3),"Neighbor on Temple Street also reports sudden vomiting, suspects the water supply after the recent repair work.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-007
CASE-00141: Euphemistic bribery,The field surveyor said to just pay the 'processing charge' of Rs 50000 in cash and the file will clear same day.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00142: Excessive repeat filing (rephrased),"A resident of Industrial Estate Road has resubmitted the same streetlight complaint 20 times over two weeks, even after each was acknowledged.",Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-00143: EPF withdrawal stuck (rephrased),"My EPF withdrawal claim, filed 101 days ago, is still unprocessed even after two reminder submissions.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00144: Bus Delay complaint (rephrased),Commuters from Nungambakkam report the morning bus service running 8 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00145: Direct bribe solicitation (rephrased),A linesman at the Station Road office hinted that an unofficial payment of Rs 3000 would speed up my pending file.,Revenue Department / Land Records + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00146: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 41, non-functional for approximately 25 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00147: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Kilpauk, non-functional for approximately 12 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00148: Water Tanker complaint,"Scheduled water tanker did not come to Hillside Colony on the assigned day, 6 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00149: Ration card correction,"Requested correction on ration card (address change) for Vivekananda Street household filed 22 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00150: Industrial pollution affecting residents,"Factory near Station Road releasing thick smoke at night, residents reporting breathing difficulty and eye irritation.",Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00151: Suspicious identical wording (rephrased),"Several accounts filed complaints against the same Hillside Colony shopkeeper using identical wording, all on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-00152: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 19, non-functional for approximately 11 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00153: Ration card correction (rephrased),My ration card address-update request from Airport Road junction has been sitting unprocessed for 14 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00154: Land mutation delay,Land mutation entry after property purchase in Kilpauk pending for 73 days at the Tehsildar office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00155: Park complaint (rephrased),"The community park in Old Market Road has been left unmaintained — broken play equipment, tall grass, not cleaned in 20 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00156: Park complaint,Children's park in Alandur has broken swings and overgrown grass for over 22 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00157: Toilet complaint,Public toilet block in Avadi has no water supply and is unhygienic.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00158: Noise complaint,Loudspeaker from a commercial event in Canal Bank Road continuing past permitted hours.,Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-00159: Ambiguous jurisdiction - garbage vs drainage,"Garbage dumped into the drain near Sector 9 is blocking water flow, unclear if this is a sanitation issue or a drainage issue.",Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-00160: Suspected outbreak / contamination cluster (case 3 of 3),"Third case of stomach cramps and diarrhea reported among children attending the corporation school in Medavakkam, all within four days.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-018
CASE-00161: Accident emergency response delay - fatality (rephrased),"A relative was struck by a truck near 5th Cross Street signal; despite repeated calls, help took nearly 20 minutes and he passed away.",Fire & Emergency Services + Police Department + Health Department / Hospital,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-00162: Pothole complaint (rephrased),"The stretch of road near Purasaiwalkam has multiple deep potholes; two-wheeler riders have nearly fallen, needs urgent resurfacing.",Roads & PWD + Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00163: Parking complaint,Vehicles parked illegally on the footpath near Anna Nagar market block pedestrian access.,Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-00164: Water Tanker complaint,"Scheduled water tanker did not come to New Bus Stand area on the assigned day, 21 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00165: Women's safety near transit stop (rephrased),Women commuting near the Shastri Nagar bus stop after dark have repeatedly reported harassment incidents.,Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00166: Parking complaint,Vehicles parked illegally on the footpath near Block A colony market block pedestrian access.,Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-00167: Pension release delay,"Pension application pending for 130 days with no update, resident of West Mambalam, elderly applicant.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00168: Park complaint,Children's park in Airport Road junction has broken swings and overgrown grass for over 11 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00169: Threat via social media escalation (rephrased),Told the meter reader handling my Adyar case to be 'ready for what's coming' if I don't see action before I go public with this.,Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00170: Pothole complaint,Potholes on the main road near Kodambakkam bus stop have worsened after recent rain.,Roads & PWD + Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00171: Ambiguous jurisdiction - streetlight vs electricity theft (rephrased),"Residents near Adyar suspect the streetlight outage is tied to illegal power tapping nearby, not sure if that's electricity board or police jurisdiction.",Electricity Board + Police Department,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-00172: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Indira Nagar in 23 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00173: Garbage complaint (rephrased),"Waste not collected in 5th Cross Street — this is the 3th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00174: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Cross Cut Road property was approved but not yet credited, 129 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
